,4,5,6
bimax,9.82,9.795,10.7
agg -2,9.187,9.385,10.053
agg -1,9.338,9.412,10.14
agg 0,9.367,9.355,10.143
agg 1,9.243,9.29,10.24
agg 2,8.946,9.005,10.301
SMD 0.1,9.312,9.376,10.165
SMD 0.3,9.285,9.396,10.051
SMD 0.5,9.059,9.318,9.724
SMD 0.7,8.403,9.23,9.263
SMD 0.9,7.569,8.951,8.677
std -1,7.875,8.971,8.758
