,4,5,6
bimax,0.703,0.857,0.907
agg -2,0.984,0.989,1.0
agg -1,0.992,0.989,1.0
agg 0,1.0,1.0,1.0
agg 1,0.984,1.0,1.0
agg 2,0.875,1.0,0.99
SMD 0.1,0.992,1.0,1.0
SMD 0.3,0.992,0.989,1.0
SMD 0.5,0.992,0.989,1.0
SMD 0.7,0.992,0.989,1.0
SMD 0.9,0.984,0.989,1.0
std -1,0.992,0.989,1.0
