,4,5,6
bimax,7.327,9.028,8.147
agg -2,7.999,9.584,8.968
agg -1,7.952,9.575,8.94
agg 0,7.93,9.578,8.94
agg 1,7.938,9.598,8.863
agg 2,7.976,9.662,8.8
SMD 0.1,7.945,9.578,8.938
SMD 0.3,7.976,9.571,8.975
SMD 0.5,8.005,9.506,8.982
SMD 0.7,7.928,9.36,8.92
SMD 0.9,7.535,9.093,8.609
std -1,7.695,9.136,8.65
