,4,5,6
bimax,0.56,0.797,0.868
agg -2,0.86,0.917,0.975
agg -1,0.843,0.916,0.971
agg 0,0.833,0.919,0.972
agg 1,0.821,0.912,0.966
agg 2,0.821,0.895,0.965
SMD 0.1,0.831,0.92,0.976
SMD 0.5,0.843,0.924,0.98
SMD 0.9,0.685,0.851,0.937
std -1,0.79,0.878,0.95
