,4,5,6
bimax,0.992,1.0,1.0
agg -2,1.0,1.0,1.0
agg -1,1.0,1.0,1.0
agg 0,0.999,1.0,1.0
agg 1,0.999,1.0,1.0
agg 2,0.999,1.0,1.0
SMD 0.1,0.999,1.0,1.0
SMD 0.5,1.0,1.0,1.0
SMD 0.9,0.981,1.0,1.0
std -1,0.998,1.0,1.0
