,4,5,6
bimax,3.848,4.843,4.73
agg -2,6.735,7.437,7.283
agg -1,6.888,7.673,7.587
agg 0,7.15,8.037,8.043
agg 1,7.98,9.077,9.273
agg 2,8.057,9.667,9.927
SMD 0.1,7.468,8.55,8.563
SMD 0.3,6.888,7.63,7.457
SMD 0.5,6.53,7.153,7.09
SMD 0.7,6.382,6.863,6.74
SMD 0.9,6.365,6.81,6.707
std -1,6.38,6.86,6.72
