,4,5,6
bimax,4.458,2.873,3.043
agg -2,1.715,2.433,2.023
agg -1,2.022,2.787,2.48
agg 0,2.4,3.42,3.267
agg 1,4.308,5.433,5.693
agg 2,6.562,6.947,7.187
SMD 0.1,3.358,4.373,4.257
SMD 0.3,1.922,2.713,2.327
SMD 0.5,1.395,2.07,1.777
SMD 0.7,1.202,1.663,1.417
SMD 0.9,1.182,1.63,1.327
std -1,1.2,1.697,1.273
