,4,5,6
bimax,0.996,1.0,1.0
agg -2,0.999,0.999,1.0
agg -1,0.999,1.0,1.0
agg 0,0.999,0.999,1.0
agg 1,0.998,0.999,1.0
agg 2,0.999,0.999,1.0
SMD 0.1,0.998,1.0,1.0
SMD 0.3,0.999,1.0,1.0
SMD 0.5,0.999,1.0,1.0
SMD 0.7,0.999,1.0,1.0
SMD 0.9,0.993,1.0,1.0
std -1,0.998,0.999,1.0
