,4,5,6
bimax,7.115,8.216,8.364
agg -2,8.335,8.77,9.061
agg -1,8.286,8.771,9.055
agg 0,8.258,8.772,9.059
agg 1,8.197,8.748,9.034
agg 2,8.174,8.702,8.988
SMD 0.1,8.239,8.773,9.058
SMD 0.5,8.352,8.768,9.073
SMD 0.9,7.6,8.426,8.728
std -1,8.106,8.531,8.79
