,4,5,6
bimax,8.17,7.21,7.613
agg -2,5.66,5.15,5.373
agg -1,5.61,4.993,5.2
agg 0,5.445,4.683,4.823
agg 1,4.768,3.703,3.64
agg 2,4.385,2.853,2.787
SMD 0.1,5.31,4.27,4.387
SMD 0.3,5.59,5.003,5.257
SMD 0.5,5.61,5.21,5.413
SMD 0.7,5.615,5.307,5.49
SMD 0.9,5.598,5.273,5.553
std -1,5.595,5.23,5.573
