,4,5,6
bimax,10.136,9.872,10.636
agg -2,9.372,9.33,10.064
agg -1,9.44,9.314,10.073
agg 0,9.37,9.285,10.088
agg 1,9.28,9.225,10.126
agg 2,8.91,9.196,10.207
SMD 0.1,9.31,9.293,10.076
SMD 0.5,9.299,9.187,9.902
SMD 0.9,7.572,8.576,8.887
std -1,8.426,8.599,8.993
