Tree_id,Population_id,Sample_id,tree_height,mean_cluster,th,APU (bimax),AOU (bimax),AAD (bimax),accept (bimax),APU (agg_-2),AOU (agg_-2),AAD (agg_-2),accept (agg_-2),APU (agg_-1),AOU (agg_-1),AAD (agg_-1),accept (agg_-1),APU (agg_0),AOU (agg_0),AAD (agg_0),accept (agg_0),APU (agg_1),AOU (agg_1),AAD (agg_1),accept (agg_1),APU (agg_2),AOU (agg_2),AAD (agg_2),accept (agg_2),APU (SMD_0.1),AOU (SMD_0.1),AAD (SMD_0.1),accept (SMD_0.1),APU (SMD_0.3),AOU (SMD_0.3),AAD (SMD_0.3),accept (SMD_0.3),APU (SMD_0.5),AOU (SMD_0.5),AAD (SMD_0.5),accept (SMD_0.5),APU (SMD_0.7),AOU (SMD_0.7),AAD (SMD_0.7),accept (SMD_0.7),APU (SMD_0.9),AOU (SMD_0.9),AAD (SMD_0.9),accept (SMD_0.9),APU (std_-1),AOU (std_-1),AAD (std_-1),accept (std_-1)
7,0,82,5,3,3.7327056569346997,7.0,4.0,3.0,1,5.0,8.0,3.0,1,5.0,8.0,3.0,1,5.0,8.0,3.0,1,3.0,10.0,7.0,1,3.0,10.0,7.0,1,5.0,8.0,3.0,1,5.0,8.0,3.0,1,5.0,7.0,2.0,1,5.0,7.0,2.0,1,5.0,7.0,2.0,1,5.0,7.0,2.0,1
7,0,83,5,7,6.154191318589332,7.0,6.0,1.0,0,5.0,8.0,3.0,1,5.0,8.0,3.0,1,5.0,8.0,3.0,1,5.0,8.0,3.0,1,3.0,10.0,7.0,1,5.0,8.0,3.0,1,4.0,8.0,4.0,1,5.0,8.0,3.0,1,4.0,7.0,3.0,1,4.0,7.0,3.0,1,5.0,7.0,2.0,1
7,0,84,5,5,6.371482240557013,8.0,5.0,3.0,0,4.0,8.0,4.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,3.0,9.0,6.0,1,3.0,9.0,6.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,6.0,7.0,1.0,1,6.0,7.0,1.0,1,6.0,7.0,1.0,1,6.0,7.0,1.0,1
7,0,85,5,5,6.366061010667482,5.0,6.0,1.0,0,5.0,7.0,2.0,1,6.0,6.0,0.0,0,4.0,9.0,5.0,1,4.0,9.0,5.0,1,2.0,10.0,8.0,1,4.0,9.0,5.0,1,5.0,7.0,2.0,1,5.0,6.0,1.0,0,6.0,6.0,0.0,0,7.0,6.0,1.0,0,6.0,6.0,0.0,0
7,0,86,5,3,3.4899881760329063,5.0,7.0,2.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,3.0,10.0,7.0,1,3.0,10.0,7.0,1,3.0,10.0,7.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,4.0,7.0,3.0,1
7,0,87,5,7,6.586201005720979,7.0,4.0,3.0,0,6.0,6.0,0.0,0,6.0,6.0,0.0,0,6.0,6.0,0.0,0,3.0,10.0,7.0,1,3.0,10.0,7.0,1,3.0,10.0,7.0,1,6.0,6.0,0.0,0,6.0,7.0,1.0,1,6.0,7.0,1.0,1,6.0,7.0,1.0,1,6.0,7.0,1.0,1
7,0,88,5,3,0.9017918842959953,7.0,5.0,2.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,6.0,7.0,1.0,1,3.0,9.0,6.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1
7,0,89,5,3,1.5048904850679785,7.0,5.0,2.0,1,7.0,6.0,1.0,1,7.0,6.0,1.0,1,4.0,9.0,5.0,1,4.0,9.0,5.0,1,3.0,9.0,6.0,1,4.0,9.0,5.0,1,6.0,7.0,1.0,1,7.0,6.0,1.0,1,7.0,6.0,1.0,1,7.0,6.0,1.0,1,6.0,7.0,1.0,1
7,0,90,5,3,2.911516653555761,7.0,6.0,1.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,3.0,10.0,7.0,1,3.0,10.0,7.0,1,3.0,10.0,7.0,1,4.0,8.0,4.0,1,4.0,8.0,4.0,1,6.0,7.0,1.0,1,4.0,7.0,3.0,1,4.0,7.0,3.0,1
7,0,91,5,7,6.229272734235844,7.0,5.0,2.0,0,5.0,8.0,3.0,1,5.0,8.0,3.0,1,4.0,9.0,5.0,1,3.0,10.0,7.0,1,3.0,10.0,7.0,1,3.0,10.0,7.0,1,4.0,9.0,5.0,1,6.0,6.0,0.0,0,6.0,6.0,0.0,0,6.0,6.0,0.0,0,7.0,6.0,1.0,0
7,0,92,5,5,4.268393278445795,8.0,5.0,3.0,1,5.0,8.0,3.0,1,5.0,8.0,3.0,1,5.0,8.0,3.0,1,4.0,8.0,4.0,1,2.0,10.0,8.0,1,5.0,8.0,3.0,1,5.0,8.0,3.0,1,5.0,8.0,3.0,1,5.0,7.0,2.0,1,5.0,5.0,0.0,1,5.0,7.0,2.0,1
7,0,93,5,7,6.356406488687909,7.0,4.0,3.0,0,5.0,8.0,3.0,1,5.0,8.0,3.0,1,5.0,8.0,3.0,1,4.0,9.0,5.0,1,4.0,9.0,5.0,1,5.0,8.0,3.0,1,5.0,8.0,3.0,1,5.0,8.0,3.0,1,5.0,6.0,1.0,0,5.0,6.0,1.0,0,4.0,6.0,2.0,0
7,0,94,5,7,8.234304189278685,9.0,3.0,6.0,0,5.0,8.0,3.0,0,5.0,8.0,3.0,0,5.0,8.0,3.0,0,5.0,8.0,3.0,0,2.0,10.0,8.0,1,5.0,8.0,3.0,0,5.0,8.0,3.0,0,5.0,8.0,3.0,0,5.0,8.0,3.0,0,5.0,8.0,3.0,0,5.0,8.0,3.0,0
7,0,95,5,7,6.124968136380591,8.0,5.0,3.0,0,6.0,5.0,1.0,0,4.0,9.0,5.0,1,4.0,9.0,5.0,1,3.0,10.0,7.0,1,3.0,10.0,7.0,1,4.0,9.0,5.0,1,6.0,5.0,1.0,0,5.0,6.0,1.0,0,5.0,6.0,1.0,0,5.0,6.0,1.0,0,5.0,6.0,1.0,0
7,0,96,5,7,7.17313138579601,8.0,5.0,3.0,0,5.0,7.0,2.0,0,5.0,7.0,2.0,0,5.0,7.0,2.0,0,5.0,7.0,2.0,0,5.0,7.0,2.0,0,5.0,7.0,2.0,0,5.0,7.0,2.0,0,6.0,6.0,0.0,0,6.0,6.0,0.0,0,6.0,6.0,0.0,0,6.0,6.0,0.0,0
7,0,97,5,7,8.084930548040164,8.0,4.0,4.0,0,5.0,8.0,3.0,0,5.0,8.0,3.0,0,5.0,8.0,3.0,0,5.0,8.0,3.0,0,3.0,9.0,6.0,1,5.0,8.0,3.0,0,5.0,8.0,3.0,0,5.0,8.0,3.0,0,5.0,8.0,3.0,0,6.0,6.0,0.0,0,6.0,6.0,0.0,0
