,4,5,6
bimax,0.857,0.994,0.988
agg -2,0.983,0.998,0.999
agg -1,0.981,0.998,0.999
agg 0,0.977,0.998,0.999
agg 1,0.973,0.998,0.999
agg 2,0.969,0.998,0.999
SMD 0.1,0.973,0.998,0.999
SMD 0.5,0.988,0.999,1.0
SMD 0.9,0.873,0.988,0.998
std -1,0.96,0.993,1.0
