,4,5,6
bimax,3.524,2.033,2.288
agg -2,1.953,1.55,1.422
agg -1,2.051,1.574,1.426
agg 0,2.146,1.608,1.429
agg 1,2.351,1.735,1.541
agg 2,2.778,1.907,1.66
SMD 0.1,2.15,1.601,1.433
SMD 0.5,1.669,1.37,1.156
SMD 0.9,0.812,0.686,0.419
std -1,1.061,0.864,0.501
